total_bill,tip,sex,smoker,day,time,size,tip_percentage,bill_category
16.99,1.01,Female,No,Sun,Dinner,2,5.94,Medium
10.34,1.66,Male,No,Sun,Dinner,3,16.05,Low
21.01,3.5,Male,No,Sun,Dinner,3,16.66,Medium
23.68,3.31,Male,No,Sun,Dinner,2,13.98,Medium
24.59,3.61,Female,No,Sun,Dinner,4,14.68,Medium
25.29,4.71,Male,No,Sun,Dinner,4,18.62,High
8.77,2.0,Male,No,Sun,Dinner,2,22.81,Low
26.88,3.12,Male,No,Sun,Dinner,4,11.61,High
15.04,1.96,Male,No,Sun,Dinner,2,13.03,Medium
14.78,3.23,Male,No,Sun,Dinner,2,21.85,Low
10.27,1.71,Male,No,Sun,Dinner,2,16.65,Low
35.26,5.0,Female,No,Sun,Dinner,4,14.18,High
15.42,1.57,Male,No,Sun,Dinner,2,10.18,Medium
18.43,3.0,Male,No,Sun,Dinner,4,16.28,Medium
14.83,3.02,Female,No,Sun,Dinner,2,20.36,Low
21.58,3.92,Male,No,Sun,Dinner,2,18.16,Medium
10.33,1.67,Female,No,Sun,Dinner,3,16.17,Low
16.29,3.71,Male,No,Sun,Dinner,3,22.77,Medium
16.97,3.5,Female,No,Sun,Dinner,3,20.62,Medium
20.65,3.35,Male,No,Sat,Dinner,3,16.22,Medium
17.92,4.08,Male,No,Sat,Dinner,2,22.77,Medium
20.29,2.75,Female,No,Sat,Dinner,2,13.55,Medium
15.77,2.23,Female,No,Sat,Dinner,2,14.14,Medium
39.42,7.58,Male,No,Sat,Dinner,4,19.23,High
19.82,3.18,Male,No,Sat,Dinner,2,16.04,Medium
17.81,2.34,Male,No,Sat,Dinner,4,13.14,Medium
13.37,2.0,Male,No,Sat,Dinner,2,14.96,Low
12.69,2.0,Male,No,Sat,Dinner,2,15.76,Low
21.7,4.3,Male,No,Sat,Dinner,2,19.82,Medium
19.65,3.0,Female,No,Sat,Dinner,2,15.27,Medium
9.55,1.45,Male,No,Sat,Dinner,2,15.18,Low
18.35,2.5,Male,No,Sat,Dinner,4,13.62,Medium
15.06,3.0,Female,No,Sat,Dinner,2,19.92,Medium
20.69,2.45,Female,No,Sat,Dinner,4,11.84,Medium
17.78,3.27,Male,No,Sat,Dinner,2,18.39,Medium
24.06,3.6,Male,No,Sat,Dinner,3,14.96,Medium
16.31,2.0,Male,No,Sat,Dinner,3,12.26,Medium
16.93,3.07,Female,No,Sat,Dinner,3,18.13,Medium
18.69,2.31,Male,No,Sat,Dinner,3,12.36,Medium
31.27,5.0,Male,No,Sat,Dinner,3,15.99,High
16.04,2.24,Male,No,Sat,Dinner,3,13.97,Medium
17.46,2.54,Male,No,Sun,Dinner,2,14.55,Medium
13.94,3.06,Male,No,Sun,Dinner,2,21.95,Low
9.68,1.32,Male,No,Sun,Dinner,2,13.64,Low
30.4,5.6,Male,No,Sun,Dinner,4,18.42,High
18.29,3.0,Male,No,Sun,Dinner,2,16.4,Medium
22.23,5.0,Male,No,Sun,Dinner,2,22.49,Medium
32.4,6.0,Male,No,Sun,Dinner,4,18.52,High
28.55,2.05,Male,No,Sun,Dinner,3,7.18,High
18.04,3.0,Male,No,Sun,Dinner,2,16.63,Medium
12.54,2.5,Male,No,Sun,Dinner,2,19.94,Low
10.29,2.6,Female,No,Sun,Dinner,2,25.27,Low
34.81,5.2,Female,No,Sun,Dinner,4,14.94,High
9.94,1.56,Male,No,Sun,Dinner,2,15.69,Low
25.56,4.34,Male,No,Sun,Dinner,4,16.98,High
19.49,3.51,Male,No,Sun,Dinner,2,18.01,Medium
38.01,3.0,Male,Yes,Sat,Dinner,4,7.89,High
26.41,1.5,Female,No,Sat,Dinner,2,5.68,High
11.24,1.76,Male,Yes,Sat,Dinner,2,15.66,Low
48.27,6.73,Male,No,Sat,Dinner,4,13.94,High
20.29,3.21,Male,Yes,Sat,Dinner,2,15.82,Medium
13.81,2.0,Male,Yes,Sat,Dinner,2,14.48,Low
11.02,1.98,Male,Yes,Sat,Dinner,2,17.97,Low
18.29,3.76,Male,Yes,Sat,Dinner,4,20.56,Medium
17.59,2.64,Male,No,Sat,Dinner,3,15.01,Medium
20.08,3.15,Male,No,Sat,Dinner,3,15.69,Medium
16.45,2.47,Female,No,Sat,Dinner,2,15.02,Medium
3.07,1.0,Female,Yes,Sat,Dinner,1,32.57,Low
20.23,2.01,Male,No,Sat,Dinner,2,9.94,Medium
15.01,2.09,Male,Yes,Sat,Dinner,2,13.92,Medium
12.02,1.97,Male,No,Sat,Dinner,2,16.39,Low
17.07,3.0,Female,No,Sat,Dinner,3,17.57,Medium
26.86,3.14,Female,Yes,Sat,Dinner,2,11.69,High
25.28,5.0,Female,Yes,Sat,Dinner,2,19.78,High
14.73,2.2,Female,No,Sat,Dinner,2,14.94,Low
10.51,1.25,Male,No,Sat,Dinner,2,11.89,Low
17.92,3.08,Male,Yes,Sat,Dinner,2,17.19,Medium
27.2,4.0,Male,No,Thur,Lunch,4,14.71,High
22.76,3.0,Male,No,Thur,Lunch,2,13.18,Medium
17.29,2.71,Male,No,Thur,Lunch,2,15.67,Medium
19.44,3.0,Male,Yes,Thur,Lunch,2,15.43,Medium
16.66,3.4,Male,No,Thur,Lunch,2,20.41,Medium
10.07,1.83,Female,No,Thur,Lunch,1,18.17,Low
32.68,5.0,Male,Yes,Thur,Lunch,2,15.3,High
15.98,2.03,Male,No,Thur,Lunch,2,12.7,Medium
34.83,5.17,Female,No,Thur,Lunch,4,14.84,High
13.03,2.0,Male,No,Thur,Lunch,2,15.35,Low
18.28,4.0,Male,No,Thur,Lunch,2,21.88,Medium
24.71,5.85,Male,No,Thur,Lunch,2,23.67,Medium
21.16,3.0,Male,No,Thur,Lunch,2,14.18,Medium
28.97,3.0,Male,Yes,Fri,Dinner,2,10.36,High
22.49,3.5,Male,No,Fri,Dinner,2,15.56,Medium
5.75,1.0,Female,Yes,Fri,Dinner,2,17.39,Low
16.32,4.3,Female,Yes,Fri,Dinner,2,26.35,Medium
22.75,3.25,Female,No,Fri,Dinner,2,14.29,Medium
40.17,4.73,Male,Yes,Fri,Dinner,4,11.77,High
27.28,4.0,Male,Yes,Fri,Dinner,2,14.66,High
12.03,1.5,Male,Yes,Fri,Dinner,2,12.47,Low
21.01,3.0,Male,Yes,Fri,Dinner,2,14.28,Medium
12.46,1.5,Male,No,Fri,Dinner,2,12.04,Low
11.35,2.5,Female,Yes,Fri,Dinner,2,22.03,Low
15.38,3.0,Female,Yes,Fri,Dinner,2,19.51,Medium
44.3,2.5,Female,Yes,Sat,Dinner,3,5.64,High
22.42,3.48,Female,Yes,Sat,Dinner,2,15.52,Medium
20.92,4.08,Female,No,Sat,Dinner,2,19.5,Medium
15.36,1.64,Male,Yes,Sat,Dinner,2,10.68,Medium
20.49,4.06,Male,Yes,Sat,Dinner,2,19.81,Medium
25.21,4.29,Male,Yes,Sat,Dinner,2,17.02,High
18.24,3.76,Male,No,Sat,Dinner,2,20.61,Medium
14.31,4.0,Female,Yes,Sat,Dinner,2,27.95,Low
14.0,3.0,Male,No,Sat,Dinner,2,21.43,Low
7.25,1.0,Female,No,Sat,Dinner,1,13.79,Low
38.07,4.0,Male,No,Sun,Dinner,3,10.51,High
23.95,2.55,Male,No,Sun,Dinner,2,10.65,Medium
25.71,4.0,Female,No,Sun,Dinner,3,15.56,High
17.31,3.5,Female,No,Sun,Dinner,2,20.22,Medium
29.93,5.07,Male,No,Sun,Dinner,4,16.94,High
10.65,1.5,Female,No,Thur,Lunch,2,14.08,Low
12.43,1.8,Female,No,Thur,Lunch,2,14.48,Low
24.08,2.92,Female,No,Thur,Lunch,4,12.13,Medium
11.69,2.31,Male,No,Thur,Lunch,2,19.76,Low
13.42,1.68,Female,No,Thur,Lunch,2,12.52,Low
14.26,2.5,Male,No,Thur,Lunch,2,17.53,Low
15.95,2.0,Male,No,Thur,Lunch,2,12.54,Medium
12.48,2.52,Female,No,Thur,Lunch,2,20.19,Low
29.8,4.2,Female,No,Thur,Lunch,6,14.09,High
8.52,1.48,Male,No,Thur,Lunch,2,17.37,Low
14.52,2.0,Female,No,Thur,Lunch,2,13.77,Low
11.38,2.0,Female,No,Thur,Lunch,2,17.57,Low
22.82,2.18,Male,No,Thur,Lunch,3,9.55,Medium
19.08,1.5,Male,No,Thur,Lunch,2,7.86,Medium
20.27,2.83,Female,No,Thur,Lunch,2,13.96,Medium
11.17,1.5,Female,No,Thur,Lunch,2,13.43,Low
12.26,2.0,Female,No,Thur,Lunch,2,16.31,Low
18.26,3.25,Female,No,Thur,Lunch,2,17.8,Medium
8.51,1.25,Female,No,Thur,Lunch,2,14.69,Low
10.33,2.0,Female,No,Thur,Lunch,2,19.36,Low
14.15,2.0,Female,No,Thur,Lunch,2,14.13,Low
16.0,2.0,Male,Yes,Thur,Lunch,2,12.5,Medium
13.16,2.75,Female,No,Thur,Lunch,2,20.9,Low
17.47,3.5,Female,No,Thur,Lunch,2,20.03,Medium
34.3,6.7,Male,No,Thur,Lunch,6,19.53,High
41.19,5.0,Male,No,Thur,Lunch,5,12.14,High
27.05,5.0,Female,No,Thur,Lunch,6,18.48,High
16.43,2.3,Female,No,Thur,Lunch,2,14.0,Medium
8.35,1.5,Female,No,Thur,Lunch,2,17.96,Low
18.64,1.36,Female,No,Thur,Lunch,3,7.3,Medium
11.87,1.63,Female,No,Thur,Lunch,2,13.73,Low
9.78,1.73,Male,No,Thur,Lunch,2,17.69,Low
7.51,2.0,Male,No,Thur,Lunch,2,26.63,Low
14.07,2.5,Male,No,Sun,Dinner,2,17.77,Low
13.13,2.0,Male,No,Sun,Dinner,2,15.23,Low
17.26,2.74,Male,No,Sun,Dinner,3,15.87,Medium
24.55,2.0,Male,No,Sun,Dinner,4,8.15,Medium
19.77,2.0,Male,No,Sun,Dinner,4,10.12,Medium
29.85,5.14,Female,No,Sun,Dinner,5,17.22,High
48.17,5.0,Male,No,Sun,Dinner,6,10.38,High
25.0,3.75,Female,No,Sun,Dinner,4,15.0,Medium
13.39,2.61,Female,No,Sun,Dinner,2,19.49,Low
16.49,2.0,Male,No,Sun,Dinner,4,12.13,Medium
21.5,3.5,Male,No,Sun,Dinner,4,16.28,Medium
12.66,2.5,Male,No,Sun,Dinner,2,19.75,Low
16.21,2.0,Female,No,Sun,Dinner,3,12.34,Medium
13.81,2.0,Male,No,Sun,Dinner,2,14.48,Low
17.51,3.0,Female,Yes,Sun,Dinner,2,17.13,Medium
24.52,3.48,Male,No,Sun,Dinner,3,14.19,Medium
20.76,2.24,Male,No,Sun,Dinner,2,10.79,Medium
31.71,4.5,Male,No,Sun,Dinner,4,14.19,High
10.59,1.61,Female,Yes,Sat,Dinner,2,15.2,Low
10.63,2.0,Female,Yes,Sat,Dinner,2,18.81,Low
50.81,10.0,Male,Yes,Sat,Dinner,3,19.68,High
15.81,3.16,Male,Yes,Sat,Dinner,2,19.99,Medium
7.25,5.15,Male,Yes,Sun,Dinner,2,71.03,Low
31.85,3.18,Male,Yes,Sun,Dinner,2,9.98,High
16.82,4.0,Male,Yes,Sun,Dinner,2,23.78,Medium
32.9,3.11,Male,Yes,Sun,Dinner,2,9.45,High
17.89,2.0,Male,Yes,Sun,Dinner,2,11.18,Medium
14.48,2.0,Male,Yes,Sun,Dinner,2,13.81,Low
9.6,4.0,Female,Yes,Sun,Dinner,2,41.67,Low
34.63,3.55,Male,Yes,Sun,Dinner,2,10.25,High
34.65,3.68,Male,Yes,Sun,Dinner,4,10.62,High
23.33,5.65,Male,Yes,Sun,Dinner,2,24.22,Medium
45.35,3.5,Male,Yes,Sun,Dinner,3,7.72,High
23.17,6.5,Male,Yes,Sun,Dinner,4,28.05,Medium
40.55,3.0,Male,Yes,Sun,Dinner,2,7.4,High
20.69,5.0,Male,No,Sun,Dinner,5,24.17,Medium
20.9,3.5,Female,Yes,Sun,Dinner,3,16.75,Medium
30.46,2.0,Male,Yes,Sun,Dinner,5,6.57,High
18.15,3.5,Female,Yes,Sun,Dinner,3,19.28,Medium
23.1,4.0,Male,Yes,Sun,Dinner,3,17.32,Medium
15.69,1.5,Male,Yes,Sun,Dinner,2,9.56,Medium
19.81,4.19,Female,Yes,Thur,Lunch,2,21.15,Medium
28.44,2.56,Male,Yes,Thur,Lunch,2,9.0,High
15.48,2.02,Male,Yes,Thur,Lunch,2,13.05,Medium
16.58,4.0,Male,Yes,Thur,Lunch,2,24.13,Medium
7.56,1.44,Male,No,Thur,Lunch,2,19.05,Low
10.34,2.0,Male,Yes,Thur,Lunch,2,19.34,Low
43.11,5.0,Female,Yes,Thur,Lunch,4,11.6,High
13.0,2.0,Female,Yes,Thur,Lunch,2,15.38,Low
13.51,2.0,Male,Yes,Thur,Lunch,2,14.8,Low
18.71,4.0,Male,Yes,Thur,Lunch,3,21.38,Medium
12.74,2.01,Female,Yes,Thur,Lunch,2,15.78,Low
13.0,2.0,Female,Yes,Thur,Lunch,2,15.38,Low
16.4,2.5,Female,Yes,Thur,Lunch,2,15.24,Medium
20.53,4.0,Male,Yes,Thur,Lunch,4,19.48,Medium
16.47,3.23,Female,Yes,Thur,Lunch,3,19.61,Medium
26.59,3.41,Male,Yes,Sat,Dinner,3,12.82,High
38.73,3.0,Male,Yes,Sat,Dinner,4,7.75,High
24.27,2.03,Male,Yes,Sat,Dinner,2,8.36,Medium
12.76,2.23,Female,Yes,Sat,Dinner,2,17.48,Low
30.06,2.0,Male,Yes,Sat,Dinner,3,6.65,High
25.89,5.16,Male,Yes,Sat,Dinner,4,19.93,High
48.33,9.0,Male,No,Sat,Dinner,4,18.62,High
13.27,2.5,Female,Yes,Sat,Dinner,2,18.84,Low
28.17,6.5,Female,Yes,Sat,Dinner,3,23.07,High
12.9,1.1,Female,Yes,Sat,Dinner,2,8.53,Low
28.15,3.0,Male,Yes,Sat,Dinner,5,10.66,High
11.59,1.5,Male,Yes,Sat,Dinner,2,12.94,Low
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6,Low
30.14,3.09,Female,Yes,Sat,Dinner,4,10.25,High
12.16,2.2,Male,Yes,Fri,Lunch,2,18.09,Low
13.42,3.48,Female,Yes,Fri,Lunch,2,25.93,Low
8.58,1.92,Male,Yes,Fri,Lunch,1,22.38,Low
15.98,3.0,Female,No,Fri,Lunch,3,18.77,Medium
13.42,1.58,Male,Yes,Fri,Lunch,2,11.77,Low
16.27,2.5,Female,Yes,Fri,Lunch,2,15.37,Medium
10.09,2.0,Female,Yes,Fri,Lunch,2,19.82,Low
20.45,3.0,Male,No,Sat,Dinner,4,14.67,Medium
13.28,2.72,Male,No,Sat,Dinner,2,20.48,Low
22.12,2.88,Female,Yes,Sat,Dinner,2,13.02,Medium
24.01,2.0,Male,Yes,Sat,Dinner,4,8.33,Medium
15.69,3.0,Male,Yes,Sat,Dinner,3,19.12,Medium
11.61,3.39,Male,No,Sat,Dinner,2,29.2,Low
10.77,1.47,Male,No,Sat,Dinner,2,13.65,Low
15.53,3.0,Male,Yes,Sat,Dinner,2,19.32,Medium
10.07,1.25,Male,No,Sat,Dinner,2,12.41,Low
12.6,1.0,Male,Yes,Sat,Dinner,2,7.94,Low
32.83,1.17,Male,Yes,Sat,Dinner,2,3.56,High
35.83,4.67,Female,No,Sat,Dinner,3,13.03,High
29.03,5.92,Male,No,Sat,Dinner,3,20.39,High
27.18,2.0,Female,Yes,Sat,Dinner,2,7.36,High
22.67,2.0,Male,Yes,Sat,Dinner,2,8.82,Medium
17.82,1.75,Male,No,Sat,Dinner,2,9.82,Medium
18.78,3.0,Female,No,Thur,Dinner,2,15.97,Medium
