name,href,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Vitamin C,Calcium,Iron,Potassium,Total Sugars,query
Homemade Mac and Cheese,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/,48,30,142,881,65,3,37,1,865,3,522,,mac and cheese
Lobster Mac and Cheese,https://www.allrecipes.com/recipe/171001/lobster-mac-and-cheese/,49,30,218,1113,55,3,61,2,1189,3,687,6,mac and cheese
Slow Cooker Mac and Cheese,https://www.allrecipes.com/recipe/237311/slow-cooker-mac-and-cheese/,25,15,99,524,34,1,18,0,368,2,229,5,mac and cheese
Butternut Squash Mac and Cheese,https://www.allrecipes.com/recipe/235805/butternut-squash-mac-and-cheese/,15,9,44,286,27,3,13,9,336,1,303,4,mac and cheese
Mom's Favorite Baked Mac and Cheese,https://www.allrecipes.com/recipe/24321/moms-favorite-baked-mac-and-cheese/,33,21,100,1194,37,2,28,1,643,2,287,5,mac and cheese
This Million Dollar Mac and Cheese Recipe Is 'The Best Mac and Cheese' Our Tester Has Ever Had,https://www.allrecipes.com/million-dollar-mac-and-cheese-recipe-8421847,40,23,112,988,32,2,28,1,773,2,273,7,mac and cheese
Fried Mac and Cheese Balls,https://www.allrecipes.com/recipe/186033/fried-mac-and-cheese-balls/,32,14,147,1204,42,2,20,1,332,3,265,7,mac and cheese
Chef John's Lobster Mac and Cheese,https://www.allrecipes.com/recipe/241498/chef-johns-lobster-mac-and-cheese/,53,30,283,1767,62,2,63,1,915,3,913,10,mac and cheese
Easy Mac and Cheese Muffins,https://www.allrecipes.com/recipe/111361/easy-mac-and-cheese-muffins/,10,6,44,382,18,1,11,0,251,1,113,2,mac and cheese
Simple Macaroni and Cheese,https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/,34,21,100,777,55,2,27,0,568,3,380,8,mac and cheese
One-Pot Chili Mac and Cheese,https://www.allrecipes.com/recipe/241974/one-pot-chili-mac-and-cheese/,19,7,66,1233,46,7,29,10,161,4,633,8,mac and cheese
Buffalo Chicken Mac and Cheese,https://www.allrecipes.com/recipe/245764/buffalo-chicken-mac-and-cheese/,42,23,157,978,52,2,47,11,594,4,532,6,mac and cheese
Mac and Cheese Henwood Style,https://www.allrecipes.com/recipe/203752/mac-and-cheese-henwood-style/,26,11,46,1109,33,1,17,0,642,1,322,9,mac and cheese
Baked Mac and Cheese for One,https://www.allrecipes.com/recipe/70012/baked-mac-and-cheese-for-one/,30,19,89,1046,30,2,20,1,493,2,285,7,mac and cheese
Cheddar Bacon Mac and Cheese,https://www.allrecipes.com/recipe/217193/cheddar-bacon-mac-and-cheese/,37,23,109,950,45,2,30,0,559,2,292,,mac and cheese
Chuck's Favorite Mac and Cheese,https://www.allrecipes.com/recipe/19368/chucks-favorite-mac-and-cheese/,33,20,88,720,46,3,27,0,426,3,222,2,mac and cheese
Elsie's Baked Mac and Cheese,https://www.allrecipes.com/recipe/255688/elsies-baked-mac-and-cheese/,36,13,114,568,49,2,26,1,94,2,227,2,mac and cheese
Great Mac and Cheese,https://www.allrecipes.com/recipe/11735/great-mac-and-cheese/,20,13,60,670,39,2,17,2,362,2,295,8,mac and cheese
Smoked Gouda Mac and Cheese,https://www.allrecipes.com/recipe/27074/smoked-gouda-mac-and-cheese/,10,6,32,321,46,2,14,0,202,2,240,6,mac and cheese
Tasty Baked Mac and Cheese,https://www.allrecipes.com/recipe/230283/tasty-baked-mac-n-cheese/,30,18,98,532,31,1,16,0,330,2,187,2,mac and cheese
Old School Mac n' Cheese,https://www.allrecipes.com/recipe/223400/old-school-mac-n-cheese/,30,17,76,783,40,3,22,3,439,2,433,5,mac and cheese
Old Fashioned Mac and Cheese,https://www.allrecipes.com/recipe/18805/old-fashioned-mac-and-cheese/,23,15,70,450,29,1,19,0,424,1,237,5,mac and cheese
Mac and Cheese II,https://www.allrecipes.com/recipe/12016/mac-and-cheese-ii/,32,20,91,818,59,2,30,0,643,3,551,7,mac and cheese
Mexican Pizza,https://www.allrecipes.com/recipe/53075/jimmys-mexican-pizza/,19,10,56,848,32,5,20,10,324,3,452,3,pizza
Pizza on the Grill,https://www.allrecipes.com/recipe/14522/pizza-on-the-grill-i/,11,3,11,399,22,1,6,3,82,2,95,1,pizza
No-Yeast Pizza Crust,https://www.allrecipes.com/recipe/244638/no-yeast-pizza-crust/,4,1,0,216,17,1,3,0,59,1,51,1,pizza
Brick-Oven Pizza (Brooklyn Style),https://www.allrecipes.com/recipe/70801/brick-oven-pizza-brooklyn-style/,5,2,7,213,19,1,6,1,91,1,56,0,pizza
Easy Tortilla Pizza,https://www.allrecipes.com/recipe/258013/easy-tortilla-pizza/,43,13,201,1024,37,5,71,57,393,6,841,5,pizza
Grilled Pizza,https://www.allrecipes.com/recipe/205110/grilled-pizza/,11,2,5,493,45,2,8,1,70,3,65,,pizza
Arugula and Goat Cheese Pizza,https://www.allrecipes.com/recipe/129557/goat-cheese-arugula-pizza-no-red-sauce/,16,7,26,475,20,1,12,4,175,2,146,3,pizza
Chicken Avocado Pizza,https://www.allrecipes.com/recipe/82487/chicken-avocado-pizza/,38,12,66,1011,82,10,39,19,232,1,668,4,pizza
Chicken Alfredo Pizza,https://www.allrecipes.com/recipe/25189/chicken-alfredo-pizza/,18,9,58,517,43,2,18,0,174,3,186,3,pizza
Pesto Pizza,https://www.allrecipes.com/recipe/21528/pesto-pizza/,20,8,36,937,39,3,17,17,282,1,164,4,pizza
Hot Pizza Dip,https://www.allrecipes.com/recipe/14803/hot-pizza-dip/,10,5,29,271,2,0,6,2,105,1,42,1,pizza
BLT Pizza,https://www.allrecipes.com/recipe/55307/blt-pizza/,31,11,58,1093,37,2,24,5,452,2,218,6,pizza
Pizza Without the Red Sauce,https://www.allrecipes.com/recipe/24368/pizza-without-the-red-sauce/,13,6,28,568,23,2,9,19,197,3,350,4,pizza
Fruit Pizza,https://www.allrecipes.com/recipe/12604/fruit-pizza-i/,18,11,68,251,41,1,4,6,28,1,149,,pizza
Perfect Lobster Bisque,https://www.allrecipes.com/recipe/76637/perfect-lobster-bisque/,13,8,66,554,5,0,10,1,97,0,263,1,lobster bisque
Special Lobster Bisque,https://www.allrecipes.com/recipe/47894/special-lobster-bisque/,17,11,94,842,14,1,17,1,213,1,451,8,lobster bisque
Lobster Bisque,https://www.allrecipes.com/recipe/12845/lobster-bisque/,9,5,108,1060,11,0,28,1,217,1,605,6,lobster bisque
Annie's Lobster Bisque,https://www.allrecipes.com/recipe/215828/annies-lobster-bisque/,11,4,42,553,24,1,16,6,282,2,691,13,lobster bisque
Quick Lobster Bisque,https://www.allrecipes.com/recipe/222536/quick-lobster-bisque/,34,21,148,683,13,1,17,3,192,2,528,1,lobster bisque
Lobster Bisque from Scratch,https://www.allrecipes.com/recipe/283353/lobster-bisque-from-scratch/,55,35,193,1087,18,1,16,4,84,1,540,2,lobster bisque
The Best Easy Shrimp Enchiladas,https://www.allrecipes.com/the-best-easy-shrimp-enchiladas-recipe-8398887,28,14,111,1007,39,3,26,49,414,3,457,5,lobster bisque
Lobster and Chive Bisque,https://www.allrecipes.com/recipe/12868/lobster-and-chive-bisque/,27,17,106,799,12,0,10,2,188,0,309,6,lobster bisque
Easy Imitation Lobster Bisque,https://www.allrecipes.com/recipe/285512/easy-imitation-lobster-bisque/,19,12,108,1298,14,2,17,8,80,1,314,6,lobster bisque
Crabmeat Bisque Made Easy,https://www.allrecipes.com/recipe/237464/crabmeat-bisque-made-easy/,47,29,195,459,14,1,17,4,211,1,500,2,lobster bisque
Langostino Bisque,https://www.allrecipes.com/recipe/8360468/langostino-bisque/,20,12,142,511,12,1,12,,,,428,,lobster bisque
